system:time_start,Evap_tavg
"Jan 1, 2000",0
"Feb 1, 2000",0
"Mar 1, 2000",0
"Apr 1, 2000",0
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0
"Sep 1, 2000",0
"Oct 1, 2000",0
"Nov 1, 2000",0
"Dec 1, 2000",0
"Jan 1, 2001",0
"Feb 1, 2001",0
"Mar 1, 2001",0
"Apr 1, 2001",0
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0
"Sep 1, 2001",0
"Oct 1, 2001",0
"Nov 1, 2001",0
"Dec 1, 2001",0
"Jan 1, 2002",0
"Feb 1, 2002",0
"Mar 1, 2002",0
"Apr 1, 2002",0
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0
"Dec 1, 2002",0
"Jan 1, 2003",0
"Feb 1, 2003",0
"Mar 1, 2003",0
"Apr 1, 2003",0
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0
"Sep 1, 2003",0
"Oct 1, 2003",0
"Nov 1, 2003",0
"Dec 1, 2003",0
"Jan 1, 2004",0
"Feb 1, 2004",0
"Mar 1, 2004",0
"Apr 1, 2004",0
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",0
"Sep 1, 2004",0
"Oct 1, 2004",0
"Nov 1, 2004",0
"Dec 1, 2004",0
"Jan 1, 2005",0
"Feb 1, 2005",0
"Mar 1, 2005",0
"Apr 1, 2005",0
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0
"Sep 1, 2005",0
"Oct 1, 2005",0
"Nov 1, 2005",0
"Dec 1, 2005",0
"Jan 1, 2006",0
"Feb 1, 2006",0
"Mar 1, 2006",0
"Apr 1, 2006",0
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0
"Sep 1, 2006",0
"Oct 1, 2006",0
"Nov 1, 2006",0
"Dec 1, 2006",0
"Jan 1, 2007",0
"Feb 1, 2007",0
"Mar 1, 2007",0
"Apr 1, 2007",0
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0
"Sep 1, 2007",0
"Oct 1, 2007",0
"Nov 1, 2007",0
"Dec 1, 2007",0
"Jan 1, 2008",0
"Feb 1, 2008",0
"Mar 1, 2008",0
"Apr 1, 2008",0
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",0
"Oct 1, 2008",0
"Nov 1, 2008",0
"Dec 1, 2008",0
"Jan 1, 2009",0
"Feb 1, 2009",0
"Mar 1, 2009",0
"Apr 1, 2009",0
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0
